input.sentences,output.sentences,persona.age
it had everything we needed,It was a beautiful day for him.,25-34
oddly | a local group of clowns also got to drive through the parade .,The strangest part was the odd local clown cars.,25-34
he was down to his undies when lucky for him the game stopped .,Josh got down to his undies but had to stop.,25-34
hopefully | the men are keeping a close eye on their fires .,"Since it was dark, we were keeping an eye on the burgers so that it did not get burned by the fires.",25-34
another group was set on peeling potatoes .,Amen said the man making the soup,35-44
the tropical island was a wonderful place for the two friends to vacation .,Look at the fabulous ocean.,35-44
people were celebrating in all sorts of fun | kooky ways .,There were all sorts of people some holding kooky balloons.,35-44
we got to see a lot of sights .,we saw mansions on the water,25-34
cheer leaders performed before the game .,"Though it was colder than expected, the dance team gave a great performance.",25-34
i went for a hike in the woods .,I began the day with a hike in the woods.,35-44
she looked out through the screened in porch .,A house is surrounded by a fence.,18-24
there i am on the phone talking .,I had to answer the phone for the first time.,25-34
the concert last week was awesome . i had a great time .,Everyone had a good time at the concert last week.,18-24
i was prepared for the 10k run .,The day is finally here and Tom takes a selfie as he approaches the building for registration,55-74
they are so excited to see that their brother and son has graduated .,Everyone was so excited that their sons had graduated.,18-24
i moved into my new house last week !,HOUSE IS VERY NICE,25-34
[male] was getting married to his sweetheart that day .,The newly weds pose for a photo at the receptions.,45-54
and there were stuffed animals .,IT  IS A ADD,25-34
everyone was very excited .,The winner was excited to finish in first place.,55-74
she just woke up .,The kids are awake.,18-24
the guest speaker arrived on time as was expected .,"As the guest speaker walked up to the venue, everyone wanted to take his picture.",35-44
after taking the picture the news reporter joined me as well as fellow reporters in the conference room .,More photos were being taken of the sister by reporters and reporter.,18-24
the architecture was truly impressive .,I loved the architecture of some of the places.,45-54
it was a lot of fun .,The day was a lot of fun.,18-24
and laying on the sand .,At the end of the park visit the boy played in the sand.,35-44
she nearly cried when she saw this sign . this house is where she grew up .,The sign is on the house which Grandma grew up in.,18-24
not really a fan of the blue shutters on this one or the red brick .,it was full of old houses from the 50's.,25-34
we got together for a group hug .,They share in a team hug ready to give it all they've got.,35-44
then we watched a lady on stilts pass by .,We watched as a woman in stilts passed us,25-34
my grandpa had a real nice party for his birthday,Grandpa was so happy to celebrate his 75th birthday with family.,35-44
i went on vacation last weekend .,And was very happy to be in the field.,25-34
thats me riding a horse . i am finally geting the hang of this,IT IS A BROWN HORSE,25-34
bands played marching music .,The marching band played happy music as they finished up the parade.,25-34
our week at the beach was fantastic .,It is a beautiful day at the beach.,25-34
there was also some ice cream and cake .,Finally the ice cream cake was ready.,18-24
[male] and [female] gave very funny speeches .,The guys gave the funniest speeches.,18-24
these windows showed [male] with saints .,This one kindo f scares me sometimes.,35-44
today we went to a pc gaming convention .,The gaming convention was always an exciting event.,25-34
the topic was `` service to the community '' and everyone was eager to learn what they could do .,"Today's topic is Service to the community, to learn about the importance of volunteer work.",18-24
i stayed on the beach long enough to watch the sunset .,"As they walked away, the sun began to set.",35-44
closing in | she met up with three friends from her old alma mater . excited | she took their photo .,there is bob getting his reward for best in sales   how incredible  great job bob,25-34
some of them were over 1000 years old .,We saw places that could seat a 1000 people.,45-54
my favorite was the carving into the column near the stairs .,Our favorite part was the column by the stairs.,25-34
he then tries to stick the knife in his head after he realizes the bad thing that he did .,One protester realizes the severity of the brawl as she picks up a knife she thought was a stick.,25-34
the sliding boat was a good ride . everyone enjoyed this ride,The boat is my favorite ride.,35-44
these berries were so good ! a nice snack between activities .,"It looked like a nice snack, with berries.",18-24
although i 'd love to say otherwise | [male] was not the most beautiful city .,IT IS A MAIN ROAD,25-34
things got livelier as the night went on .,Friends posed together for another picture.,45-54
the funeral for the fallen officer was very somber .,It was a somber day at the funeral of an officer,25-34
the fireman showed how to do thier job,The first exciting thing I found was some firemen doing their job putting out a fire.,35-44
the iffel tower with a light on the top of it .,"Then to our right the tower shined and shimmered in the distnace, like a becon calling us there next.",25-34
even if you ca n't sing | have a lot of fun faking it !,We all had a lot of fun singing.,18-24
[female] was stand offish and still reluctant to speak of what she witnessed.sometimes after a couple visits they open up .,THEY INTERVIEWED LOTS OF WITNESSES,25-34
we had some drinks at the local pub after dinner to relax .,Where we sat was warm and inviting which was a relief from the grey outside.,18-24
the evening concluded with moist and delicious chocolate cake . [female] he live 90 more years .,The cake was moist with the hand of a female.,35-44
a large crowd lined the street to view the festivities .,Two men volunteered to be at the mercy of The Magicicans company.,25-34
afterwards they discussed the results of the game .,"When the testers were done and gave their approval, all designers celebrated and strategized their final phase.",35-44
i went out to grab some soup .,"She didn't have much time, so she had to get some soup and grab some documents before she went to work",18-24
the best part of the whole day was the fireworks show | as it symbolized the gunfire and sounds that made independence day a reality .,After the concert there were fireworks.,18-24
in the center of the park | a group of re-enactors passed by | dressed in historical attire .,"To celebrate the opening, some folks dressed in traditional New England clothing.",18-24
this is the beginning of the parade and a good time it is . waving to all the people can get tiresome .,Waving can be tiresome with time.,18-24
after the rides | we went to see the giraffes.always liked how long their necks were.i wonder if they have any troubles or neck pain .,There's a troubles in the rides and we got a pain.,Under12
i came upon a organization sign and it reminded me of hotdogs and i got hungry so i skipped out on the rally and went to the stadium to eat !,The people skipped the sign at the stadium,35-44
there were statues .,We saw the statue of henry Ford.,55-74
the ocean run was fun,It was a cold morning in January when a polar plunge for charity was held at the lake.,55-74
the students were shown these charts and educated on the conditions the location surface .,"A great many different organizations took part in the presentations, offering to share their experiences with the kids.",45-54
they were in very small cups .,We got small samples of many different dishes.,55-74
a fun ride made [male] 's hair look funny afterward .,Many of the rides take advantage of the beautiful scenery.,18-24
the snow covered all of the cars,IT IS A SNOW,18-24
we visited the location location .,Our vacation started off with this first picture.,18-24
there were many old homes,The city was full of beautiful historic homes.,25-34
they carefully lined up putts .,His putts were lined carefully,35-44
i finally found an alternate route .,"Finally, a clear route through the flood was found.",25-34
one of the native workers digging at the excavation site .,The workers are the site did a great job.,25-34
now that we 're landed time for some beer !,The dog was ready to go.,25-34
the original house had fewer modifications than its current state .,Here is what the original house looked like before the modifications.,35-44
some like to take walks through formal gardens .,These gardens are a lovely place for formal walks.,25-34
in tradition the bride was walked down the aisle by her father .,The bride sure looks happy.,55-74
after the ceremony some hors d'oeuvres were served while the reception was set up .,I hope nobody notices this is not enough food.,35-44
everyone is wearing green and many people have smiles on their faces .,"One woman is wearing a green, yellow and blue cape like garment.",45-54
girls are having fun on their night out .,"Last night, I got together at the bar with the girls.",18-24
from location to location .,IT IS A HOTEL,25-34
we had a great dinner with loyal fans .,The loyal fans had dinner together.,45-54
some people even try to make the best of it with winter sports .,Eventually people got through and went out to do some snow sports.,25-34
i wonder if his parents called him pumpkinhead when he was growing up ?,we all can't wait to scare the town!,25-34
the food was brought out on a wooden board and there was a lot of it .,We ordered our favorite items off the menu.,25-34
[male] is having a drink that her good friend [female] bought for him .,The female friends and male friend had a lots of fun over there.,12-17
it looked ridiculous .,Except the one ridiculous party.,35-44
it was so much fun .,That is one beautiful sky.,55-74
the council gathered in the room .,Three men are having a debate.,18-24
the classic carousel was a nice touch of nostalgia .,My nostalgia set in when I saw them on the carousel.,25-34
we always loved to go see the lights .,I love the lights this time of year.,35-44
finally | there was live music for everyone to enjoy .,We were on our third round of drinks when the live music finally got started.,45-54
ohh ! worn out from the festivities mom and baby decide to take a deserved nap .,"Mary Bell is settling Opal down for a nap, maybe we should all take a nap It's a long walk back to our cars.",35-44
there is also a vast amount of modern ones .,There was a vast amount of modern flowers.,18-24
i cooked it on a nice prepped heating service . careful not to overcook .,Good food service requires the meat is well prepared and not overcooked.,25-34
after riding the carnival rides all morning the family decides to take a break .,And was very happy to be in the field.,25-34
[male] and [female] sorted through finer details in between meetings .,A man and woman stands and looks through a glass door.,25-34
we took a break to warm up and have a quick dinner .,We came in to get warm and have a quick dinner.,25-34
i want to stay here forever and never go home .,I want to stay home forever.,18-24
the fact that this art has been here for so long is amazing .,Amazing art throughout the museum shows how humans have been represented in art across history.,45-54
to make up for all the exercise | i grabbed some donuts on my way .,IT IS A DAYLIGHT DONUTS,25-34
it was very cluttered .,She worked from home and her computer was her most important piece of office equipment.,55-74
the meadow is smooth and young .,It was a very nice day and I'm glad I had the chance to go.,25-34
we had some drinks at the local pub after dinner to relax .,"I don't know about you, but I think it's time to visit The Pub.",55-74
they took a picture of the state .,Then mom wanted just a picture of the statue.,18-24
i love [female] 's dress . black is much better than white for her .,They read their vows to each other with nervous emotion.,25-34
view of the tall organization wheel from our hotel room .,We took pictures of the huge ferris wheel.,45-54
[male] was gross .,My best friend is really silly.,25-34
the speaker was very motivating and he inspired the audience to find better jobs .,After the presentation he will speak for another hour,35-44
in the village we also came across a wild pig wondering around .,And a wild pig wandering around the village.,25-34
there was also strange creatures that i had never seen before .,We saw some strange creatures too.,25-34
it 's being turned into a science center .,He had a great time on the hike.,25-34
he got him . amazing how they do n't seriously hurt .,"If the cowboy does his toss right, neither he nor the calf gets hurt.",55-74
there was a lobster out of place,Some would say that this lobster is an art form.,55-74
after buying the book she looks for a place to sit down and read .,"They decided all that knowledge was best shared with everyone, and handed the books out to more women.",25-34
she introduced the speaker very well .,Hi my name is emily.,25-34
the chef preps the meat for the guest .,"Today, I bought a huge hunk of cow meat.",25-34
the family went on a trip today .,A family had decided to go on vacation,25-34
the horn sounded and the race began .,It is so exciting and we go to watch it every year,35-44
some resembled everyday clothing .,Her favorite thing to make was halloween costume.,18-24
the store front was in view .,I was at the office and got very hungry.,55-74
i really loved the steam trains from the early century .,"By that time, we had reached the first major stop and many passengers left.",25-34
it was a beautiful event .,They left the wedding in her grampas old car.,18-24
i do n't think it was very realistic because it had an island in the center . it looked more like a modern kitchen .,IT IS ALSO A INSIDE OF THE HOUSE,25-34
the third course was pretty yummy .,Thie main course was kind of small.,35-44
the family is so proud of their graduate .,IT IS A GROUP PHOTO,25-34
she and i took a long hike along the cliffs . i was afraid to look down !,"While we went for a hike on the cliffs, I was afraid someone would fall.",25-34
here is the burning man . he represents anger and hate in the world .,every year in Mellowvill a giant marsh mellow of a man is made erected in the town square,25-34
it is fun to shop at night !,People came from all around to shop all night and have fun.,25-34
they have a hiking trail as well .,Many walked to the castle and around the grounds.,35-44
crafts shows can be an interesting place to shop,The local shops were abuzz with a sale at the candle store.,25-34
later that night we went to the gym .,Her brother met his friends there.,25-34
the gorgeous sunset was the best ending to a great day !,They admire the sunset and return to the hotel for free breakfast.,45-54
we took the kids to the fair at the local church . first up was a painting class .,Today we went to a local event where kids could paint.,35-44
the wedding parties gifts were on the table .,The tables were all prepared for the wedding.,55-74
if you look close enough you can even see fish in the water .,The fish was close to the water.,18-24
i could see the house in the distance .,"Well, every now and then we'd see a house or barn in the distance.",45-54
afterward we left to grab something to eat .,There was literature about the history of the plane.,35-44
the bus with rabbits was going,The city has many tours you can take but one of the best is the rabbit bus tour.,35-44
the speech is fairly typical about american students abroad .,"As with every graduation, there was the typical valedictorian student's speech.",35-44
everyone was looking their best .,It was so special to celebrate them.,18-24
this is a very unique place that not many people know about . researchers come here to learn about wildlife .,The willife is so unique where I visited that researchers came in to investigate.,35-44
my father decided to recreate his childhood town with model trains . he began with the trainyard .,The miniature train set had several trains that ran through a trainyard and a town.,55-74
on the other ferry the radio broadcasters were exciting another ferry .,Many of them dressed in their team colors while they cheered.,18-24
the ladies walking around the casino were dressed very nicely .,His mom was so proud of him.,25-34
their music and culture is inviting .,The culture and music was inviting.,18-24
i was on my balcony last night taking some pictures .,A girl hears fireworks going off for the Fourth of July so she grabs her camera and starts taking pictures of the night sky.,25-34
the american military men greeted their asian counterparts .,The highest ranking officer was greeted by another country's military officials.,35-44
my friend was allowed to join in | since it was his birthday !,and the other man with the tambourine,25-34
the location was gorgeous .,It is the number one destination for honey mooers seeking a private get away,25-34
i spent all night on my balcony trying to take as many pictures as i could .,We spent the night taking pictures.,18-24
she hugged him and said hello,"He wanted to get a hug, and she gave him one.",35-44
family decided to take photos of different sites for memories .,This is one of my favorite shots on the island.,45-54
so | i closed the door to the circuit box .,IT IS A METER OF THE CURRENT,25-34
naturally | the tree provided their own art .,"Naturally the trees provided a canopy of shade, breeze and something pleasant to look at when we were not perusing ancient historical artifacts.",45-54
the road to the amusement park made me a little anxious since i was excited .,IT IS A ROAD,25-34
those are my friends standing in the background . they bought some delicious street tacos .,The people put all of their trash inthe garbage can.,35-44
all in all it is a great time for not only the runners | but the people here in town .,"The town waits near the end of the race, registering times for the runners.",18-24
the work on this one must have taken hours .,Non- Natives also showed off their tatoos as well.,25-34
a man is picking up a crab from the sand .,Their father showed them a little crab that was hiding in one of the tidepools. The crab carries his home on his back.,35-44
the day ended with a bond fire .,"After the restaurant trip, the kids set up camp and we had a bonfire, which was a thrilling way to end the day and bond over songs and smores.",45-54
and we all know this wo n't end well .,"This year's Horn Blower: Rufus Knipp, from Tuscaloosa, AL got the event underway by blowing on the Beer Bong of Justice.",45-54
we stopped at a cool looking farmhouse too .,"As she approached her childhood home, she was filled with emotion.",25-34
the speaker was very motivating and he inspired the audience to find better jobs .,His mom was so proud of him.,25-34
chang family visited organization this summer .,His mom was so proud of him.,25-34
he was so happy to be there .,He was so happy he called everyone.,45-54
they are walking down the aisle as husband and wife | this is a big moment in their lives .,This is a special moment for the wife to walk down the aisle,35-44
all water pressure had been lost !,Low water pressure was another side effect of the poor construction.,18-24
some have neat markings .,I found that a lot of things had unique markings.,18-24
we still had a few hours left before we had to leave .,"When you leave the hotel, go left for 2 hours.",25-34
i ca n't wait to go back .,IT IS A SEASHORE,25-34
even have the old cars to go along,We decided to take a quick drive around town.,35-44
the statue became a symbol of pride for the town .,The statue now stands as a symbol of the respect our town has for the heroes of our nation.,35-44
was some really cool old cars too ...,I love it when the old cars come driving by.,55-74
this back road way should take away some of congested traffic .,"As always, the traffic on the road was congested as his middle aged gut.",18-24
it was a hot day so fans were encouraged to spray the cyclists as they sped by .,A young girl wears purple.,18-24
this street has a large mural on the side of it .,The man went for a ride on his bike.,25-34
in a remote location .,So I decided to leave our home to take a trip and go to where the map was from.,45-54
they are having a jewish ceremony .,They had a Jewish ceremony.,18-24
the drummer was very good .,The drummer was rocking.,45-54
we were so excited for our neighbor 's christmas lights .,Christmas lights brighten the night sky.,18-24
i went to the birthday party last week .,A family enjoys a young teenager's birthday at a restaurant.,18-24
everyone was a little goofy after all the tests .,It was nice to act goofy after taking all those tests.,18-24
with all the game playing it is now time to do my favorite game and that is eating .,His mom was so proud of him.,25-34
my co-worker made his special chicken man appearance .,Thats my co-worker that looks like a special chicken.,35-44
this morning i got to see a family of ducks when i was going on my walk .,The invasion of the ducks has begun.,35-44
but the youngest know that their turn is coming too .,I was so excited to have this time with everyone and thanked them each individually for coming.,45-54
eating breakfast before going out .,Woke up early to beat the morning rush for breakfast.,35-44
there are many kinds of protests,Our society maintains different kinds of protests.,18-24
i think we 'll return in a few weeks when summer is in full effect to take some more pictures .,Time to just sit and relax by the water.,25-34
we went to meet sainburys .,The man is meeting with a group of young ladies.,18-24
as the night comes to a end the sunset is out .,We typically stay until sunset every single time we go!,35-44
the family was having a good time at the festival .,We then went to the festival to spend time with the family.,25-34
as he slapped the puck across the ice he thought `` i sure hope this stays away from the other team '',The enemy team wasn't giving up and I was worried my favorite team would lose.,25-34
the cheerleaders are gearing up and getting ready for the game as well .,Cheerleaders were there as well to pump up the crowd.,25-34
this one was one of our favorites because of how spacious it was .,There was also a larger stone house they vacationed at during the summer.,25-34
they used many different things to color the eggs and make designs on them .,Its so great to see the types of things that the kids come up with to decorate their eggs with,18-24
we got this designer bookshelf .,I made sure my shelves looked nice and organized.,25-34
an interesting fountain in town .,Our town has the most amazing site so we decided to do a bit of sightseeing and started at the amazing fountain,35-44
the waterways with the rustic arches seemed to go on and on .,The dog was ready to go.,25-34
by the time that [female] got there | most of her friends were already seated .,Had some extra time so i took a seat.,45-54
i was so happy to graduate and be with my friends again !,After graduation everyone went to a party.,35-44
i work security at the fall festival .,Security was there to make the event safe.,55-74
mom and dad just got a fresh house .,John bought his mom a new house.,18-24
[male] kept on screaming `` flame on ! `` .,There was a screaming male with the flame.,18-24
they are very beautiful though .,Gothic architecture has things like tall towers.,18-24
i met a lot of important people .,A lot of people met afterwards.,18-24
as soon as we got to the hotel | i could n't wait to get to the beach .,He had a great time on the hike.,25-34
after the cake they said a few kind words about her .,Some gave some kind words towards the special moment of this celebration.,18-24
my friend and i really had a great time .,It was a wonderful way for friends to spend time together.,35-44
the crowd is anxious and cant wait for the event.`,The wait for the event was for the crowd.,35-44
i did find some little friends while on my walk . these guys look like they are guarding their turf !,Then I saw a few crabs walking up to claim their turf.,45-54
here 's the mud hole.wonder why they never cleaned it up and used it for fishing or something for the community .,The lake is very big today.,18-24
this was probably the biggest explosion of them all .,THE PEOPLE CELEBRATE WELL,25-34
the went to a restaurant for dinner .,We all got one table together.,18-24
they could see a ship in the distance .,ONE BOAT GO TO THE SEA,25-34
the theme park was really interesting .,This picture of the theme park is going on Instagram.,35-44
they loved the green apple drinks that the bar served .,Two of the women are enjoying drinks in martini glasses.,25-34
this won the blue prize ribbon for best architectural design .,She won a blue ribbon as a prize for her fabulous model home design.,35-44
go tisei ! ! ! vote for me,My friend and I participated in a political march encouraging others to Vote Richard Tisei.,25-34
found some rides and got my friend to ride a couple of them.the scariest was this roller coaster that made loops .,Before riding on a roller coaster.,25-34
we found some local fishermen there .,What in the world are those guys doing?,55-74
the girl puts a ring on,The ring is given to the girl.,25-34
after millions of years they finally were able to touch down on earth . they live among us and want to keep it that way .,"It can touch the heart, and millions live never fully understanding.",35-44
even as generations come and go | the special trinkets and memories of those past can be a treat to relive .,I had decided to wrap them up withe the treats that I had already got her for that special day.,35-44
we took a group picture before the event .,There were so many pictures of the event,55-74
there was a community event at the public park recently | aimed at teaching young kids fire safety .,Besty recently began teaching kids about fire safety.,35-44
we went to the old playground we played on as kids .,We stopped by the local kids park to hang out and act like kids again.,25-34
this house was built as a b & b for that purpose .,I purposely asked to go see a house that was built.,35-44
the people who were under the shade offered us beers .,"The people were inviting, and offered shade when my skin started to warm.",18-24
two women happily addressed the crowd and hugged each other .,The women happily hugged each other after the event.,55-74
the dog and young ones were so excited !,The baby sat happily next to the dog.,45-54
this is an old two story home that housed soldiers during the civil war .,Ice formed on the sidewalk outside the house down the road.,25-34
the flowers open up in all their splendor .,Today I went to the park to look at how beautiful nature is.,25-34
some birds defected from the flocks to rest on one of the ferris wheel 's cages .,Yet none of them had realized they had left their friend behind.,25-34
the crowd was really into it .,The crowd was excited.,25-34
everyone was coming over to the apartment for a halloween party .,Everyone was excited that Halloween was coming and couldn't wait for the party.,45-54
i went on a bday outtin to a nice place,today we are going on an outting,35-44
there was even a show from the local high school dance club,every see the dance in stage,25-34
i also love owls !,IT IS A BIRD,25-34
here 's the whole gang ! star wars was a big theme this year .,His mom was so proud of him.,25-34
everyone started the day with a little music .,THE PICUTRE IS BEAUTHE PICUTRE IS BEAUTIFULTIFUL,25-34
the images are also inspirational .,"Most of all, the inspiring quotes on the walls would make the school a cheerier place.",18-24
it was a beautiful day to be otuside,The bikes were all lined up along the pond because it was such a beautiful day outside.,35-44
the graduate as she returns to her place among the class .,I just received my diploma.,35-44
they finished up the day with dinner at a nice restaurant..,We enjoyed dinner along the way.,25-34
i stopped at a memorial which had names listed for the fallen warriors from a war .,Warriors are happy that war has stopped.,25-34
treats such as these rice krispy bars are homemade and delicious .,Rice cakes are made to look like lolipops.,18-24
oh no | here comes the snow truck | as i jump out of the way | i get drenched not only with snow but two nice cold drinks .,A snow blow pushes snow off the road.,18-24
he got into his car | and readied himself for the race .,It was a beautiful day for him.,25-34
as they were getting ready to show their support they were handed posters .,A new protest started outside.,18-24
the owner told us a bit about the establishment .,There's a cool diner on the main street.,25-34
the newlyweds buried themselves in the sand and watched the ocean .,The couple watched the views while laying on the sand next to the ocean.,25-34
there was a lot of land out here .,We discussed how nice it would be to buy some land out here.,45-54
we stopped in time for a funeral service .,The time went by when we stopped to observe the service.,55-74
cadets sat rigid in their seats .,Rows upon rows of graduates are sitting in the auditorium.,55-74
the first step to making a gourmet meal is to chop the meat into little pieces .,I start my green bean and beef casserole with 2 pounds of stew meat.,55-74
the speakers were great .,There were some talks about improving the workspace which increased the morale of our workers.,45-54
lastly | we took a moment to take a picture next to the beach .,"Lastly, at the moment of departure, I had my picture taken.",55-74
it got a little crowded though | so we decided to head back down to the shore .,After that we decided to head to the shore.,35-44
i went to rural location .,Okay so I am guess this sign suppose to help me get to where I am suppose to be.,25-34
we decided to watch the parade .,Our family decided to watch the parade in town today.,35-44
my second work is my self right eye portrait . do you like it ?,Then draws a portrait of an eye.,25-34
there is so much space and beautiful views on the farm .,It is very peaceful out there with lots of land.,25-34
then we went sightseeing on the bridge .,Later I went sightseeing at this bridge.,18-24
this guy gives [male] a weird look and [male] wants to knock him out .,And was very happy to be in the field.,25-34
we walked back home after a day in the park .,The moms enjoyed their walk in the park.,25-34
a beautiful landmark building .,This was a beautiful landmark viewing.,18-24
brotherly love ! so sweet to see .,And was very happy to be in the field.,25-34
i saw a snake but i do n't think it showed in this picture .,I took a picture of a snake,35-44
view of the tall organization wheel from our hotel room .,I then continued walking until I saw a ferris wheel,35-44
it was complete deserted with people but there were plenty of birds,It's always nice to find a deserted beach.,55-74
look ! this is yellow !,There were industrial machines painted bright yellow.,55-74
the singer was not that good .,The lead singer was feeling himself.,18-24
everyone felt represented .,Many different cultures were represented,25-34
however | even while celebrating this does not keep people from picking up their cellphones .,There is a woman all in black talking on her phone with paint on her face.,45-54
the crowd began to cheer as the visiting team made their way on to the pitch .,The visitors team was just as pumped as the home team!,35-44
my fiancee and i went to the park for our engagement photo session .,The dog was ready to go.,25-34
the family is going on a boating trip,"During the Summer trip our family took, we decided to go boating.",35-44
i had a great time touring all of them .,IT IS VERY NICE,25-34
the we stopped to shop at some stores .,"We came across this part of town, which was so colorful and picturesque.",45-54
there was a lot of planning involved for the trip .,She shared how the trip took planning but was a lot of fun.,25-34
marching through the streets on graduation day .,THEY PEOPLE ARE WATCHING,25-34
location made the day . the family enjoyed their self .,The whole family agreeded to the new location and we've already set up plans for next year.,35-44
aunt [female] was there to make him feel loved .,It is not fair that I cannot write on this story due to pictures not showing up.,45-54
she loved how the buildings looked,Cars still drove over them.,18-24
friends and family as well as fans are seated in the bleachers cheering their team on .,The crowd looked on excitedly.,25-34
last week i got lost in downtown and wandered around for about an hour .,Last week I wandered around the city and got lost.,45-54
we arrived at our hotel and were happy to touch ground .,Thank god this is the last bed I have to make up for the day,25-34
a new bike she had a received for her birhtday .,"So she hopped on her bike, and drove to Debby's house.",25-34
the game is on | may the best team win .,They players played their best.,18-24
ok [male] - get ready ... 1 ... .2 ... .3 ! ! ! make a wish .,We're all ready to begin the celebration.,25-34
the meal was delicious .,A male snaps a picture for his post.,18-24
the kids put on life jackets before going swimming .,"In the afternoon the family  went boating, wearing their life jackets in kids sizes.",25-34
she also loved the how there were beautiful churches everywhere .,IT IS A CHURCH,25-34
there were a few flowers planted in the grass .,These are the white flowers we planted in the grass.,25-34
we walked under the arch .,And was very happy to be in the field.,25-34
the library was totally quiet | just the way i like it .,It was totally the best time to enjoy a quiet library.,35-44
we posed outside with the baby .,The newlyweds take a family photo with their daughter.,18-24
[male] doing his first shot of saki,His mom was so proud of him.,35-44
it took us so high up in the air .,"It was getting late, but that didn't mean it would be closing any time soon",25-34
an important part of the summer is taking a trip to the local theme park .,This summer we ended up taking a trip to the theme park.,35-44
some had sunglasses .,Some lonely cop stopped and grimaced.,25-34
all of the sudden | i started feeling dizzy . the lights started spinning over my head !,The city was full of lights and color.,25-34
the crowd went wild with every minute .,"It was wild, and the crown was ready at any minute to stand up and cheer for their side.",45-54
and we danced the night away hor hours .,"Their first dance was lovely, bringing many tears to eyes.",25-34
having fun with others .,We always have fun together,25-34
we got to the end of the parade and moved on .,The parade moved on.,45-54
the man was riding his bike,Police officers ride into a protest on their motorbikes.,18-24
then there were others that were more down to earth and stylish.this set was by far my favorite.very beautiful to me .,My favorite set was all the art that was made out of stylish trash.,18-24
he is gathering all the kids up to go door and door for candy .,Some adults don't know how to feel about kids gathering at their front door.,25-34
they proposed a number of ideas on how to solve the town 's problems .,He seems to have something to say.,25-34
we went on a tour of this aircraft museum . i guess they started with the oldest first .,The entrance to the museum included a covered pathway.,45-54
the ruins still stand tall despite ages of weathering and erosion .,He stands tall among the weathering of the building.,45-54
there was a bike race going on .,I've waited a long time for this bike trip.,55-74
they then took the balls on the water !,I knew my kids would love these activities.,25-34
eventually all my friends showed up .,The professor just teaches here.,25-34
there is also a vast amount of modern ones .,Some are modern and feature a large amount of text.,25-34
everything was set out for the party .,We set up the room for the party.,25-34
up here in mountain country | flowers seem to grow even more beautifully than anywhere else .,I love mountain climbing and being out doors,25-34
this is his greyhound cinnamon .,And was very happy to be in the field.,25-34
listening to what is going on now .,first thing they do was listening opening speech,25-34
we stayed a little while to get a couple more then headed out .,IT IS A PALACE,25-34
she told him never to say that in front of the child but in the back of her mind she knew he was right .,I like this guy.,55-74
fun time watching the dancers and listening to the music .,Dancers involved wore festive clothing.,25-34
the whole family has come out for a fun time today .,They party went on well into the night.,45-54
two girls were honored together first.they looked really anxious and really happy to be acknowledged .,The coaches gave out awards to the best players.,18-24
one was even of a flying location location .,This ornament is placed in a location that looks like he is flying.,55-74
i picked out two cupcakes .,The cupcakes seemed popular because there were only 2 left,35-44
wow | what a beautiful coffee shop .,This coffee shop has a wow factor.,55-74
the cake was magnificent and white .,The magnificent white cake looked so delicious,55-74
many people showed up to the beach .,Not too many people travel to the beach in a Porsche.,55-74
the art museum was full of interesting sculptures .,The art museum featured an interesting installation recently.,25-34
his girlfriend lights up as well .,His mom was so proud of him.,25-34
my brother had his wedding last week .,The Bride and Groom walked into the chapel.,45-54
the families of the people running ate lots of food while waiting for their loved ones to return .,He had a great time on the hike.,25-34
looks like one organization fan showed up and gave a rude gesture .,Someone made a rude gesture to the organization,25-34
finally went bowling all night long .,A bowling ally had very good food.,18-24
we saw the small steeple once we got over the hill .,IT IS A BUILDING,25-34
today was the day of the race . they started out in the water .,The folks in the water participated in the boat portion of the race.,35-44
me and my family had a surprise party for our mother tonight,We're going to Grandma's today.,55-74
then they lit off alot of sparklers all at once .,The sparklers were lit a lot and brightened the sky immensely.,18-24
at night | we went back to the canals and marveled at the beauty .,"By the night time though, I could sleep peacefully.",18-24
they just recently still lived at an older apartment .,we recently found pictures of the old apartment.,45-54
his mom decides to shape his hair up a little bit for his trip out of town .,"Before any more pictures, he made a quick trip to town to have his hair shaped.",55-74
this street has a large mural on the side of it .,"On my bikeride Sunday in the city,it was interesting to see how much had changed since I lived there",55-74
then the family got their food and sat down to eat . the little girl sat by her dad and seemed to thoroughly enjoy her corn on the cob .,Julie talked Dad into giving up the salty corn on the cob.,45-54
the bagpipe players were everyone 's favorite .,The players played their favorite bagpipes.,18-24
it was a mess everywhere .,"Well, it was until I found this mess!",55-74
i went shopping in location location today .,"Nearby to the college campus, there was a lively shopping district.",25-34
closing in | she met up with three friends from her old alma mater . excited | she took their photo .,Seen a friend and had to get a selfie with them.,45-54
my sister looking deep in thought on chrismas night .,"My sister, last night was deep in thought.",25-34
the goats are in the field,The goats are enjoying the green field.,55-74
i sat on a park bench to take a break from long walking .,"After waling for a few miles, and enjoying the day, I say on a bench in the park.",45-54
this is a god spot for a house .,God picked a great spot for the house.,25-34
we hitched our way on a camel and rode off | that day done .,"Picture of my camels, bet you dont own a camel.",35-44
it 's dark out and they go for some food .,Many people ate food watching the dark sky.,18-24
then posed for another picture .,The girls would always dress up for dinner.,18-24
we had a great time at work today .,It was time to start our band,18-24
my wedding day in location .,Wedding love is happening down on the beach.,55-74
everyone in the crowd cheered her on .,"With applause in her ears, she happily took hold of her new credential certificate.",25-34
it is good to be prepared .,The plastic sheeting will hopefully protect open areas.,55-74
